Device UUID,Device Name,Policy,PolicyPath,Compliance Status
e0311184-055c-46b6-8ccc-b72b83166d65,VMWARE-4NCL5LHB,Access Credential Manager as a trusted caller,Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment,NotAvailable
73f96817-3dba-4ab6-9424-6c2da5a2e35c,DESKTOP-H09UO2D,Accounts: Limit local account use of blank passwords to console logon only,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
73f96817-3dba-4ab6-9424-6c2da5a2e35c,DESKTOP-H09UO2D,Accounts: Rename administrator account,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
73f96817-3dba-4ab6-9424-6c2da5a2e35c,DESKTOP-H09UO2D,Accounts: Rename guest account,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Access Credential Manager as a trusted caller,Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Access this computer from the network,Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Account lockout duration,Computer Configuration/Windows Settings/Security Settings/Account Policies/Account Lockout Policy,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Account lockout threshold,Computer Configuration/Windows Settings/Security Settings/Account Policies/Account Lockout Policy,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Accounts: Administrator account status,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Accounts: Block Microsoft accounts,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Accounts: Guest account status,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Accounts: Limit local account use of blank passwords to console logon only,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Accounts: Rename administrator account,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
a00fd1bc-feb0-4e3f-840b-d7c7646e1b76,EUCOCTO-4BJKH29,Accounts: Rename guest account,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Access Credential Manager as a trusted caller,Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Access this computer from the network,Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Account lockout duration,Computer Configuration/Windows Settings/Security Settings/Account Policies/Account Lockout Policy,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Account lockout threshold,Computer Configuration/Windows Settings/Security Settings/Account Policies/Account Lockout Policy,NotAvailable
4a8b7796-f1d3-4240-96ec-a5fce218c763,EUCOCTO-FJI4SGB,Accounts: Limit local account use of blank passwords to console logon only,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
4a8b7796-f1d3-4240-96ec-a5fce218c763,EUCOCTO-FJI4SGB,Accounts: Guest account status,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
4a8b7796-f1d3-4240-96ec-a5fce218c763,EUCOCTO-FJI4SGB,Accounts: Block Microsoft accounts,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
4a8b7796-f1d3-4240-96ec-a5fce218c763,EUCOCTO-FJI4SGB,Accounts: Administrator account status,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
4a8b7796-f1d3-4240-96ec-a5fce218c763,EUCOCTO-FJI4SGB,Account lockout threshold,Computer Configuration/Windows Settings/Security Settings/Account Policies/Account Lockout Policy,NotAvailable
4a8b7796-f1d3-4240-96ec-a5fce218c763,EUCOCTO-FJI4SGB,Account lockout duration,Computer Configuration/Windows Settings/Security Settings/Account Policies/Account Lockout Policy,NotAvailable
73f96817-3dba-4ab6-9424-6c2da5a2e35c,DESKTOP-H09UO2D,Accounts: Guest account status,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
4a8b7796-f1d3-4240-96ec-a5fce218c763,EUCOCTO-FJI4SGB,Access this computer from the network,Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Accounts: Rename guest account,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Accounts: Rename administrator account,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Accounts: Limit local account use of blank passwords to console logon only,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Accounts: Guest account status,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Accounts: Block Microsoft accounts,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
0e7acf06-05ac-4d38-88c8-8766cb03cbd8,EUCOCTO-0UN7RK6,Accounts: Administrator account status,Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options,NotAvailable
4a8b7796-f1d3-4240-96ec-a5fce218c763,EUCOCTO-FJI4SGB,Access Credential Manager as a trusted caller,Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment,NotAvailable
